StationName ,County,BeginGageServiceDate,EndGageServiceDate,TotalPrecipitation_inches,WaterYear,Notes_FlaggedResults,x_coord,y_coord
Butte Lake,Lassen,8/4/1991,8/15/1992,22.85,1992,,-121.3005709,40.56212904
Butte Lake,Lassen,8/15/1992,8/6/1993,46.4,1993,,-121.3005709,40.56212904
Butte Lake,Lassen,8/6/1993,6/20/1994,,1994,No data,-121.3005709,40.56212904
Butte Lake,Lassen,6/20/1994,7/1/1995,,1995,No data,-121.3005709,40.56212904
Butte Lake,Lassen,7/1/1995,7/1/1996,,1996,No data,-121.3005709,40.56212904
Butte Lake,Lassen,7/1/1996,7/1/1997,,1997,No data,-121.3005709,40.56212904
Butte Lake,Lassen,7/1/1997,7/1/1998,,1998,No data,-121.3005709,40.56212904
Butte Lake,Lassen,7/1/1998,7/1/1999,,1999,No data,-121.3005709,40.56212904
Butte Lake,Lassen,7/1/1999,7/1/2000,,2000,No data,-121.3005709,40.56212904
Butte Lake,Lassen,7/1/2000,9/7/2001,27.45,2001,,-121.3005709,40.56212904
Butte Lake,Lassen,9/7/2001,7/3/2002,29.5,2002,,-121.3005709,40.56212904
Butte Lake,Lassen,7/3/2002,7/29/2003,40.68,2003,,-121.3005709,40.56212904
Butte Lake,Lassen,7/29/2003,6/28/2004,34.4,2004,,-121.3005709,40.56212904
Butte Lake,Lassen,6/28/2004,9/15/2005,33.3,2005,,-121.3005709,40.56212904
Butte Lake,Lassen,9/15/2005,9/14/2006,53.15,2006,,-121.3005709,40.56212904
Butte Lake,Lassen,9/14/2006,10/1/2007,15.18,2007,Data collection occurred within the next water year,-121.3005709,40.56212904
Butte Lake,Lassen,10/1/2007,9/16/2008,17.76,2008,Data collection occurred within the next water year,-121.3005709,40.56212904
Butte Lake,Lassen,9/16/2008,10/7/2009,28.5,2009,Data collection occurred within the next water year,-121.3005709,40.56212904
Butte Lake,Lassen,10/7/2009,9/16/2010,0.71,2010,"Leaky valve, volume questionable. Valve replaced 9/12/2012",-121.3005709,40.56212904
Butte Lake,Lassen,9/16/2010,8/22/2011,23.51,2011,,-121.3005709,40.56212904
Butte Lake,Lassen,8/22/2011,9/12/2012,26.85,2012,,-121.3005709,40.56212904
Butte Lake,Lassen,9/12/2012,9/18/2013,34.25,2013,,-121.3005709,40.56212904
Butte Lake,Lassen,9/18/2013,9/4/2014,19.66,2014,,-121.3005709,40.56212904
Butte Lake,Lassen,9/4/2014,9/17/2015,29.3,2015,,-121.3005709,40.56212904
Butte Lake,Lassen,9/17/2015,9/1/2016,40.89,2016,,-121.3005709,40.56212904
Butte Lake,Lassen,9/1/2016,9/11/2017,63.15,2017,,-121.3005709,40.56212904
Butte Lake,Lassen,9/1/2017,9/17/2018,28.69,2018,,-121.3005709,40.56212904
Butte Lake,Lassen,9/17/2018,9/25/2019,43.09,2019,,-121.3005709,40.56212904
Butte Lake,Lassen,9/25/2019,9/3/2020,19.83,2020,,-121.3005709,40.56212904
Butte Lake,Lassen,9/3/2020,9/3/2020,,2021,No data,-121.3005709,40.56212904
Butte Lake,Lassen,9/3/2020,8/30/2022,,2022,No data,-121.3005709,40.56212904
Butte Lake,Lassen,8/30/2022,8/29/2023,48.95,2023,,-121.3005709,40.56212904
Camel Peak,Plumas,,5/21/1968,34.46,1968,No Begin Gage Service Date,-121.1011504,39.72418519
Camel Peak,Plumas,5/21/1968,5/22/1969,85.79,1969,,-121.1011504,39.72418519
Camel Peak,Plumas,5/22/1969,5/23/1970,87.26,1970,,-121.1011504,39.72418519
Camel Peak,Plumas,5/23/1970,5/24/1971,74.22,1971,,-121.1011504,39.72418519
